t,t_sec,Tamb,PV1,PV2,PV3,SP,PV_prom
Thu Jan 30 17:04:57 2020,0.000,28.762,29.074,28.835,28.764,70.000,28.880
Thu Jan 30 17:04:58 2020,0.815,28.762,29.074,28.835,28.764,70.000,28.880
Thu Jan 30 17:04:59 2020,1.616,28.762,29.074,28.836,28.764,70.000,28.880
Thu Jan 30 17:04:59 2020,2.431,28.763,29.074,28.836,28.764,70.000,28.880
Thu Jan 30 17:05:00 2020,3.248,28.763,29.074,28.836,28.764,70.000,28.880
Thu Jan 30 17:05:01 2020,4.047,28.765,29.074,28.836,28.765,70.000,28.880
Thu Jan 30 17:05:02 2020,4.864,28.766,29.075,28.836,28.765,70.000,28.880
Thu Jan 30 17:05:03 2020,5.663,28.767,29.075,28.836,28.765,70.000,28.880
Thu Jan 30 17:05:03 2020,6.480,28.767,29.075,28.836,28.765,70.000,28.880
Thu Jan 30 17:05:04 2020,7.280,28.768,29.075,28.836,28.766,70.000,28.880
Thu Jan 30 17:05:05 2020,8.096,28.767,29.075,28.837,28.766,70.000,28.885
Thu Jan 30 17:05:06 2020,8.895,28.766,29.076,28.836,28.765,70.000,28.885
Thu Jan 30 17:05:07 2020,9.712,28.766,29.076,28.836,28.765,70.000,28.885
Thu Jan 30 17:05:08 2020,10.511,28.765,29.097,28.850,28.788,70.000,28.880
Thu Jan 30 17:05:08 2020,11.328,28.763,29.180,28.908,28.859,70.000,28.906
Thu Jan 30 17:05:09 2020,12.127,28.763,29.180,28.908,28.859,70.000,28.906
Thu Jan 30 17:05:10 2020,12.944,28.760,29.312,29.017,28.977,70.000,28.974
Thu Jan 30 17:05:11 2020,13.759,28.755,29.480,29.170,29.132,70.000,29.094
Thu Jan 30 17:05:12 2020,14.560,28.751,29.681,29.355,29.318,70.000,29.250
Thu Jan 30 17:05:12 2020,15.375,28.751,29.681,29.355,29.318,70.000,29.250
Thu Jan 30 17:05:13 2020,16.177,28.748,29.903,29.565,29.526,70.000,29.443
Thu Jan 30 17:05:14 2020,16.991,28.746,30.141,29.793,29.753,70.000,29.656
Thu Jan 30 17:05:15 2020,17.792,28.747,30.392,30.037,29.996,70.000,29.740
Thu Jan 30 17:05:16 2020,18.607,28.747,30.392,30.037,29.996,70.000,29.891
Thu Jan 30 17:05:16 2020,19.408,28.746,30.653,30.316,30.274,70.000,30.135
Thu Jan 30 17:05:17 2020,20.223,28.747,30.945,30.582,30.540,70.000,30.406
Thu Jan 30 17:05:18 2020,21.024,28.747,30.945,30.582,30.540,70.000,30.406
Thu Jan 30 17:05:19 2020,21.839,28.748,31.220,30.856,30.815,70.000,30.682
Thu Jan 30 17:05:20 2020,22.640,28.750,31.501,31.136,31.096,70.000,30.958
Thu Jan 30 17:05:20 2020,23.455,28.751,31.786,31.422,31.385,70.000,31.240
Thu Jan 30 17:05:21 2020,24.256,28.751,31.786,31.422,31.385,70.000,31.240
Thu Jan 30 17:05:22 2020,25.071,28.753,32.076,31.713,31.679,70.000,31.526
Thu Jan 30 17:05:23 2020,25.887,28.754,32.368,32.008,31.978,70.000,31.812
Thu Jan 30 17:05:24 2020,26.688,28.754,32.690,32.335,32.308,70.000,31.812
Thu Jan 30 17:05:24 2020,27.503,28.757,32.690,32.335,32.308,70.000,32.109
Thu Jan 30 17:05:25 2020,28.304,28.759,32.989,32.637,32.613,70.000,32.438
Thu Jan 30 17:05:26 2020,29.119,28.761,33.288,32.942,32.921,70.000,32.740
Thu Jan 30 17:05:27 2020,29.920,28.761,33.288,32.942,32.921,70.000,32.740
Thu Jan 30 17:05:28 2020,30.735,28.762,33.590,33.249,33.231,70.000,33.042
Thu Jan 30 17:05:29 2020,31.536,28.764,33.894,33.558,33.543,70.000,33.344
Thu Jan 30 17:05:29 2020,32.351,28.766,34.200,33.869,33.857,70.000,33.656
Thu Jan 30 17:05:30 2020,33.152,28.766,34.200,33.869,33.857,70.000,33.656
Thu Jan 30 17:05:31 2020,33.967,28.766,34.534,34.210,34.200,70.000,33.964
Thu Jan 30 17:05:32 2020,34.768,28.765,34.841,34.523,34.517,70.000,34.307
Thu Jan 30 17:05:33 2020,35.583,28.765,35.150,34.523,34.517,70.000,34.307
Thu Jan 30 17:05:33 2020,36.400,28.763,35.150,34.838,34.834,70.000,34.620
Thu Jan 30 17:05:34 2020,37.199,28.762,35.460,35.153,35.152,70.000,34.932
Thu Jan 30 17:05:35 2020,38.016,28.762,35.770,35.470,35.471,70.000,35.245
Thu Jan 30 17:05:36 2020,38.815,28.762,35.770,35.470,35.471,70.000,35.245
Thu Jan 30 17:05:37 2020,39.632,28.760,36.080,35.787,35.789,70.000,35.568
Thu Jan 30 17:05:37 2020,40.431,28.759,36.391,36.132,36.136,70.000,35.880
Thu Jan 30 17:05:38 2020,41.248,28.758,36.732,36.450,36.455,70.000,36.099
Thu Jan 30 17:05:39 2020,42.048,28.758,36.732,36.450,36.455,70.000,36.214
Thu Jan 30 17:05:40 2020,42.864,28.758,37.043,36.767,36.775,70.000,36.536
Thu Jan 30 17:05:41 2020,43.665,28.758,37.355,37.086,37.094,70.000,36.854
Thu Jan 30 17:05:41 2020,44.480,28.758,37.355,37.086,37.094,70.000,36.854
Thu Jan 30 17:05:42 2020,45.280,28.760,37.668,37.403,37.412,70.000,37.172
Thu Jan 30 17:05:43 2020,46.097,28.760,37.979,37.720,37.729,70.000,37.484
Thu Jan 30 17:05:44 2020,46.911,28.759,38.292,38.037,38.046,70.000,37.802
Thu Jan 30 17:05:45 2020,47.712,28.759,38.292,38.037,38.046,70.000,37.802
Thu Jan 30 17:05:46 2020,48.527,28.759,38.603,38.354,38.364,70.000,38.115
Thu Jan 30 17:05:46 2020,49.328,28.759,38.914,38.698,38.708,70.000,38.432
Thu Jan 30 17:05:47 2020,50.143,28.759,39.253,39.014,39.025,70.000,38.651
Thu Jan 30 17:05:48 2020,50.944,28.759,39.253,39.014,39.025,70.000,38.766
Thu Jan 30 17:05:49 2020,51.759,28.759,39.562,39.328,39.338,70.000,39.089
Thu Jan 30 17:05:50 2020,52.560,28.759,39.870,39.640,39.652,70.000,39.396
Thu Jan 30 17:05:50 2020,53.375,28.759,39.870,39.640,39.652,70.000,39.396
Thu Jan 30 17:05:51 2020,54.177,28.761,40.177,39.952,39.964,70.000,39.708
Thu Jan 30 17:05:52 2020,54.991,28.763,40.484,40.263,40.274,70.000,40.021
Thu Jan 30 17:05:53 2020,55.792,28.764,40.789,40.573,40.585,70.000,40.328
Thu Jan 30 17:05:54 2020,56.607,28.764,40.789,40.573,40.585,70.000,40.328
Thu Jan 30 17:05:54 2020,57.423,28.766,41.096,40.884,40.895,70.000,40.641
Thu Jan 30 17:05:55 2020,58.223,28.768,41.402,41.222,41.232,70.000,40.953
Thu Jan 30 17:05:56 2020,59.039,28.769,41.735,41.532,41.541,70.000,41.052
Thu Jan 30 17:05:57 2020,59.839,28.769,41.735,41.532,41.541,70.000,41.276
Thu Jan 30 17:05:58 2020,60.655,28.772,42.043,41.839,41.849,70.000,41.599
Thu Jan 30 17:05:58 2020,61.455,28.773,42.352,42.151,42.160,70.000,41.901
Thu Jan 30 17:05:59 2020,62.271,28.773,42.352,42.151,42.160,70.000,41.901
Thu Jan 30 17:06:00 2020,63.071,28.774,42.658,42.460,42.470,70.000,42.214
Thu Jan 30 17:06:01 2020,63.887,28.774,42.966,42.772,42.779,70.000,42.526
Thu Jan 30 17:06:02 2020,64.687,28.776,43.271,43.080,43.088,70.000,42.828
Thu Jan 30 17:06:02 2020,65.503,28.776,43.271,43.080,43.088,70.000,42.828
Thu Jan 30 17:06:03 2020,66.303,28.776,43.577,43.388,43.395,70.000,43.141
Thu Jan 30 17:06:04 2020,67.119,28.777,43.881,43.723,43.730,70.000,43.443
Thu Jan 30 17:06:05 2020,67.919,28.779,44.214,44.030,44.036,70.000,43.547
Thu Jan 30 17:06:06 2020,68.735,28.779,44.214,44.030,44.036,70.000,43.771
Thu Jan 30 17:06:07 2020,69.551,28.780,44.515,44.335,44.341,70.000,44.083
Thu Jan 30 17:06:07 2020,70.351,28.782,44.819,44.640,44.646,70.000,44.385
Thu Jan 30 17:06:08 2020,71.167,28.782,44.819,44.640,44.646,70.000,44.385
Thu Jan 30 17:06:09 2020,71.967,28.784,45.124,44.944,44.950,70.000,44.693
Thu Jan 30 17:06:10 2020,72.783,28.786,45.425,45.246,45.253,70.000,44.995
Thu Jan 30 17:06:11 2020,73.583,28.787,45.727,45.549,45.554,70.000,45.302
Thu Jan 30 17:06:11 2020,74.399,28.787,45.727,45.549,45.554,70.000,45.302
Thu Jan 30 17:06:12 2020,75.199,28.787,46.031,45.850,45.857,70.000,45.604
Thu Jan 30 17:06:13 2020,76.015,28.788,46.334,46.178,46.184,70.000,45.901
Thu Jan 30 17:06:14 2020,76.815,28.790,46.663,46.477,46.483,70.000,46.005
Thu Jan 30 17:06:15 2020,77.631,28.790,46.663,46.477,46.483,70.000,46.224
Thu Jan 30 17:06:15 2020,78.431,28.789,46.965,46.775,46.782,70.000,46.531
Thu Jan 30 17:06:16 2020,79.246,28.793,47.263,47.072,47.080,70.000,46.833
Thu Jan 30 17:06:17 2020,80.063,28.793,47.263,47.072,47.080,70.000,46.833
Thu Jan 30 17:06:18 2020,80.863,28.795,47.562,47.369,47.376,70.000,47.130
Thu Jan 30 17:06:19 2020,81.679,28.797,47.857,47.665,47.670,70.000,47.427
Thu Jan 30 17:06:19 2020,82.479,28.799,48.150,47.959,47.964,70.000,47.719
Thu Jan 30 17:06:20 2020,83.295,28.799,48.150,47.959,47.964,70.000,47.719
Thu Jan 30 17:06:21 2020,84.095,28.800,48.443,48.253,48.257,70.000,48.016
Thu Jan 30 17:06:22 2020,84.911,28.801,48.734,48.570,48.573,70.000,48.312
Thu Jan 30 17:06:23 2020,85.711,28.803,49.049,48.859,48.859,70.000,48.406
Thu Jan 30 17:06:24 2020,86.527,28.803,49.049,48.859,48.859,70.000,48.615
Thu Jan 30 17:06:24 2020,87.327,28.803,49.336,49.145,49.146,70.000,48.911
Thu Jan 30 17:06:25 2020,88.143,28.805,49.621,49.431,49.429,70.000,49.203
Thu Jan 30 17:06:26 2020,88.943,28.805,49.621,49.431,49.429,70.000,49.203
Thu Jan 30 17:06:27 2020,89.759,28.806,49.905,49.716,49.712,70.000,49.484
Thu Jan 30 17:06:28 2020,90.574,28.806,50.190,50.000,49.995,70.000,49.766
Thu Jan 30 17:06:28 2020,91.375,28.805,50.473,50.284,50.277,70.000,50.057
Thu Jan 30 17:06:29 2020,92.190,28.805,50.473,50.284,50.277,70.000,50.057
Thu Jan 30 17:06:30 2020,92.991,28.806,50.757,50.569,50.559,70.000,50.339
Thu Jan 30 17:06:31 2020,93.806,28.806,51.041,50.878,50.864,70.000,50.620
Thu Jan 30 17:06:32 2020,94.607,28.807,51.349,51.160,51.142,70.000,50.620
Thu Jan 30 17:06:32 2020,95.422,28.807,51.349,51.160,51.142,70.000,50.922
Thu Jan 30 17:06:33 2020,96.223,28.811,51.633,51.443,51.423,70.000,51.214
Thu Jan 30 17:06:34 2020,97.038,28.813,51.914,51.724,51.699,70.000,51.495
Thu Jan 30 17:06:35 2020,97.839,28.813,51.914,51.724,51.699,70.000,51.495
Thu Jan 30 17:06:36 2020,98.654,28.814,52.196,52.005,51.975,70.000,51.771
Thu Jan 30 17:06:36 2020,99.455,28.814,52.476,52.284,52.251,70.000,52.052
Thu Jan 30 17:06:37 2020,100.270,28.814,52.757,52.563,52.526,70.000,52.333
Thu Jan 30 17:06:38 2020,101.087,28.814,52.757,52.563,52.526,70.000,52.333
Thu Jan 30 17:06:39 2020,101.886,28.813,53.037,52.842,52.799,70.000,52.609
Thu Jan 30 17:06:40 2020,102.702,28.812,53.317,53.143,53.096,70.000,52.885
Thu Jan 30 17:06:40 2020,103.502,28.812,53.620,53.420,53.365,70.000,52.885
Thu Jan 30 17:06:41 2020,104.318,28.812,53.620,53.420,53.365,70.000,53.182
Thu Jan 30 17:06:42 2020,105.119,28.812,53.891,53.691,53.630,70.000,53.458
Thu Jan 30 17:06:43 2020,105.934,28.811,54.157,53.958,53.888,70.000,53.734
Thu Jan 30 17:06:44 2020,106.734,28.811,54.157,53.958,53.888,70.000,53.734
Thu Jan 30 17:06:45 2020,107.551,28.810,54.418,54.220,54.142,70.000,53.995
Thu Jan 30 17:06:45 2020,108.351,28.809,54.676,54.479,54.390,70.000,54.255
Thu Jan 30 17:06:46 2020,109.167,28.809,54.931,54.734,54.637,70.000,54.505
Thu Jan 30 17:06:47 2020,109.967,28.809,54.931,54.734,54.637,70.000,54.505
Thu Jan 30 17:06:48 2020,110.782,28.809,55.184,54.986,54.880,70.000,54.755
Thu Jan 30 17:06:49 2020,111.583,28.809,55.433,55.260,55.141,70.000,55.010
Thu Jan 30 17:06:49 2020,112.398,28.808,55.706,55.508,55.380,70.000,55.010
Thu Jan 30 17:06:50 2020,113.215,28.808,55.706,55.508,55.380,70.000,55.271
Thu Jan 30 17:06:51 2020,114.014,28.807,55.953,55.754,55.619,70.000,55.526
Thu Jan 30 17:06:52 2020,114.831,28.806,56.199,55.999,55.855,70.000,55.766
Thu Jan 30 17:06:53 2020,115.630,28.806,56.199,55.999,55.855,70.000,55.766
Thu Jan 30 17:06:53 2020,116.447,28.804,56.442,56.242,56.091,70.000,56.005
Thu Jan 30 17:06:54 2020,117.246,28.803,56.685,56.485,56.326,70.000,56.250
Thu Jan 30 17:06:55 2020,118.063,28.802,56.927,56.726,56.562,70.000,56.490
Thu Jan 30 17:06:56 2020,118.862,28.802,56.927,56.726,56.562,70.000,56.490
Thu Jan 30 17:06:57 2020,119.679,28.801,57.165,56.965,56.797,70.000,56.729
Thu Jan 30 17:06:57 2020,120.478,28.800,57.393,57.217,57.045,70.000,56.969
Thu Jan 30 17:06:58 2020,121.295,28.800,57.631,57.438,57.262,70.000,56.969
Thu Jan 30 17:06:59 2020,122.094,28.801,57.631,57.438,57.262,70.000,57.208
Thu Jan 30 17:07:00 2020,122.911,28.799,57.840,57.648,57.472,70.000,57.438
Thu Jan 30 17:07:01 2020,123.726,28.798,58.044,57.852,57.676,70.000,57.646
Thu Jan 30 17:07:02 2020,124.527,28.798,58.044,57.852,57.676,70.000,57.646
Thu Jan 30 17:07:02 2020,125.342,28.800,58.243,58.049,57.877,70.000,57.849
Thu Jan 30 17:07:03 2020,126.143,28.799,58.438,58.242,58.073,70.000,58.052
Thu Jan 30 17:07:04 2020,126.958,28.799,58.630,58.431,58.263,70.000,58.245
Thu Jan 30 17:07:05 2020,127.759,28.799,58.630,58.431,58.263,70.000,58.245
Thu Jan 30 17:07:06 2020,128.574,28.798,58.819,58.633,58.465,70.000,58.432
Thu Jan 30 17:07:06 2020,129.375,28.797,59.025,58.814,58.646,70.000,58.630
Thu Jan 30 17:07:07 2020,130.190,28.797,59.214,58.994,58.646,70.000,58.630
Thu Jan 30 17:07:08 2020,130.991,28.796,59.214,58.994,58.828,70.000,58.823
Thu Jan 30 17:07:09 2020,131.806,28.796,59.404,59.171,59.007,70.000,59.000
Thu Jan 30 17:07:10 2020,132.607,28.794,59.589,59.346,59.182,70.000,59.182
Thu Jan 30 17:07:10 2020,133.422,28.794,59.589,59.346,59.182,70.000,59.182
Thu Jan 30 17:07:11 2020,134.238,28.793,59.773,59.519,59.357,70.000,59.365
Thu Jan 30 17:07:12 2020,135.038,28.793,59.957,59.691,59.528,70.000,59.542
Thu Jan 30 17:07:13 2020,135.854,28.791,60.155,59.872,59.708,70.000,59.661
Thu Jan 30 17:07:14 2020,136.654,28.791,60.155,59.872,59.708,70.000,59.719
Thu Jan 30 17:07:14 2020,137.470,28.791,60.327,60.030,59.865,70.000,59.901
Thu Jan 30 17:07:15 2020,138.270,28.790,60.487,60.181,60.018,70.000,60.062
Thu Jan 30 17:07:16 2020,139.086,28.790,60.487,60.181,60.018,70.000,60.062
Thu Jan 30 17:07:17 2020,139.886,28.789,60.645,60.327,60.165,70.000,60.224
Thu Jan 30 17:07:18 2020,140.702,28.789,60.796,60.468,60.307,70.000,60.370
Thu Jan 30 17:07:18 2020,141.502,28.788,60.947,60.606,60.444,70.000,60.510
Thu Jan 30 17:07:19 2020,142.318,28.788,60.947,60.606,60.444,70.000,60.510
Thu Jan 30 17:07:20 2020,143.118,28.787,61.092,60.753,60.593,70.000,60.656
Thu Jan 30 17:07:21 2020,143.934,28.788,61.250,60.884,60.727,70.000,60.802
Thu Jan 30 17:07:22 2020,144.750,28.787,61.396,61.015,60.855,70.000,60.859
Thu Jan 30 17:07:23 2020,145.550,28.787,61.396,61.015,60.855,70.000,60.948
Thu Jan 30 17:07:23 2020,146.366,28.788,61.539,61.142,60.985,70.000,61.078
Thu Jan 30 17:07:24 2020,147.166,28.788,61.675,61.269,61.111,70.000,61.219
Thu Jan 30 17:07:25 2020,147.982,28.788,61.675,61.269,61.111,70.000,61.219
Thu Jan 30 17:07:26 2020,148.782,28.790,61.821,61.393,61.236,70.000,61.349
Thu Jan 30 17:07:27 2020,149.598,28.789,61.954,61.516,61.359,70.000,61.479
Thu Jan 30 17:07:27 2020,150.398,28.790,62.080,61.650,61.492,70.000,61.604
Thu Jan 30 17:07:28 2020,151.214,28.790,62.080,61.650,61.492,70.000,61.604
Thu Jan 30 17:07:29 2020,152.014,28.791,62.214,61.769,61.608,70.000,61.734
Thu Jan 30 17:07:30 2020,152.830,28.793,62.333,61.884,61.723,70.000,61.854
Thu Jan 30 17:07:31 2020,153.630,28.794,62.451,61.995,61.837,70.000,61.854
Thu Jan 30 17:07:31 2020,154.446,28.794,62.451,61.995,61.837,70.000,61.974
Thu Jan 30 17:07:32 2020,155.246,28.795,62.561,62.103,61.943,70.000,62.083
Thu Jan 30 17:07:33 2020,156.062,28.796,62.671,62.210,62.052,70.000,62.193
Thu Jan 30 17:07:34 2020,156.878,28.796,62.671,62.210,62.052,70.000,62.193
Thu Jan 30 17:07:35 2020,157.678,28.797,62.780,62.315,62.154,70.000,62.302
Thu Jan 30 17:07:35 2020,158.494,28.799,62.887,62.426,62.266,70.000,62.406
Thu Jan 30 17:07:36 2020,159.294,28.800,63.002,62.527,62.369,70.000,62.521
Thu Jan 30 17:07:37 2020,160.110,28.800,63.002,62.527,62.369,70.000,62.521
Thu Jan 30 17:07:38 2020,160.910,28.802,63.111,62.627,62.469,70.000,62.625
Thu Jan 30 17:07:39 2020,161.726,28.803,63.214,62.726,62.565,70.000,62.734
Thu Jan 30 17:07:40 2020,162.526,28.803,63.312,62.824,62.664,70.000,62.734
Thu Jan 30 17:07:40 2020,163.342,28.803,63.312,62.824,62.664,70.000,62.828
Thu Jan 30 17:07:41 2020,164.142,28.804,63.412,62.920,62.758,70.000,62.922
Thu Jan 30 17:07:42 2020,164.958,28.803,63.509,63.016,62.856,70.000,63.021
Thu Jan 30 17:07:43 2020,165.758,28.803,63.509,63.016,62.856,70.000,63.021
Thu Jan 30 17:07:44 2020,166.574,28.801,63.615,63.113,62.951,70.000,63.120
Thu Jan 30 17:07:44 2020,167.389,28.799,63.713,63.215,63.052,70.000,63.219
Thu Jan 30 17:07:45 2020,168.190,28.798,63.820,63.307,63.145,70.000,63.318
Thu Jan 30 17:07:46 2020,169.005,28.798,63.820,63.307,63.145,70.000,63.318
Thu Jan 30 17:07:47 2020,169.806,28.796,63.917,63.398,63.234,70.000,63.417
Thu Jan 30 17:07:48 2020,170.621,28.795,64.003,63.489,63.324,70.000,63.505
Thu Jan 30 17:07:48 2020,171.422,28.795,64.086,63.576,63.413,70.000,63.505
Thu Jan 30 17:07:49 2020,172.237,28.795,64.086,63.576,63.413,70.000,63.599
Thu Jan 30 17:07:50 2020,173.038,28.795,64.169,63.665,63.503,70.000,63.682
Thu Jan 30 17:07:51 2020,173.853,28.794,64.248,63.752,63.587,70.000,63.771
Thu Jan 30 17:07:52 2020,174.654,28.794,64.248,63.752,63.587,70.000,63.771
Thu Jan 30 17:07:52 2020,175.469,28.794,64.327,63.838,63.673,70.000,63.854
Thu Jan 30 17:07:53 2020,176.270,28.792,64.403,63.931,63.768,70.000,63.938
Thu Jan 30 17:07:54 2020,177.085,28.793,64.492,64.017,63.853,70.000,64.026
Thu Jan 30 17:07:55 2020,177.902,28.793,64.492,64.017,63.853,70.000,64.026
Thu Jan 30 17:07:56 2020,178.702,28.793,64.565,64.102,63.936,70.000,64.115
Thu Jan 30 17:07:57 2020,179.517,28.794,64.630,64.187,64.024,70.000,64.193
Thu Jan 30 17:07:57 2020,180.318,28.794,64.702,64.272,64.024,70.000,64.193
Thu Jan 30 17:07:58 2020,181.134,28.793,64.702,64.272,64.102,70.000,64.271
Thu Jan 30 17:07:59 2020,181.934,28.793,64.768,64.356,64.188,70.000,64.349
Thu Jan 30 17:08:00 2020,182.749,28.793,64.833,64.439,64.274,70.000,64.432
Thu Jan 30 17:08:01 2020,183.550,28.793,64.833,64.439,64.274,70.000,64.432
Thu Jan 30 17:08:01 2020,184.366,28.790,64.894,64.521,64.352,70.000,64.510
Thu Jan 30 17:08:02 2020,185.166,28.791,64.953,64.610,64.441,70.000,64.583
Thu Jan 30 17:08:03 2020,185.982,28.790,65.017,64.691,64.521,70.000,64.630
Thu Jan 30 17:08:04 2020,186.782,28.790,65.017,64.691,64.521,70.000,64.661
Thu Jan 30 17:08:05 2020,187.598,28.791,65.090,64.772,64.601,70.000,64.740
Thu Jan 30 17:08:05 2020,188.414,28.791,65.157,64.851,64.682,70.000,64.812
Thu Jan 30 17:08:06 2020,189.214,28.791,65.224,64.930,64.682,70.000,64.812
Thu Jan 30 17:08:07 2020,190.030,28.792,65.224,64.930,64.763,70.000,64.891
Thu Jan 30 17:08:08 2020,190.830,28.793,65.288,65.010,64.840,70.000,64.964
Thu Jan 30 17:08:09 2020,191.646,28.792,65.351,65.087,64.918,70.000,65.036
Thu Jan 30 17:08:09 2020,192.446,28.792,65.351,65.087,64.918,70.000,65.036
Thu Jan 30 17:08:10 2020,193.262,28.792,65.415,65.166,64.997,70.000,65.109
Thu Jan 30 17:08:11 2020,194.061,28.790,65.478,65.251,65.083,70.000,65.182
Thu Jan 30 17:08:12 2020,194.878,28.789,65.544,65.329,65.160,70.000,65.234
Thu Jan 30 17:08:13 2020,195.678,28.789,65.544,65.329,65.160,70.000,65.266
Thu Jan 30 17:08:13 2020,196.494,28.786,65.602,65.405,65.234,70.000,65.339
Thu Jan 30 17:08:14 2020,197.293,28.786,65.662,65.482,65.310,70.000,65.401
Thu Jan 30 17:08:15 2020,198.110,28.786,65.720,65.482,65.310,70.000,65.401
Thu Jan 30 17:08:16 2020,198.925,28.785,65.720,65.556,65.384,70.000,65.474
Thu Jan 30 17:08:17 2020,199.726,28.784,65.777,65.631,65.460,70.000,65.547
Thu Jan 30 17:08:18 2020,200.541,28.783,65.837,65.704,65.536,70.000,65.615
Thu Jan 30 17:08:18 2020,201.342,28.783,65.837,65.704,65.536,70.000,65.615
Thu Jan 30 17:08:19 2020,202.157,28.782,65.899,65.778,65.607,70.000,65.688
Thu Jan 30 17:08:20 2020,202.958,28.782,65.961,65.857,65.687,70.000,65.750
Thu Jan 30 17:08:21 2020,203.773,28.781,66.029,65.929,65.760,70.000,65.797
Thu Jan 30 17:08:22 2020,204.574,28.781,66.029,65.929,65.760,70.000,65.823
Thu Jan 30 17:08:22 2020,205.389,28.781,66.094,66.002,65.832,70.000,65.896
Thu Jan 30 17:08:23 2020,206.190,28.781,66.157,66.074,65.904,70.000,65.974
Thu Jan 30 17:08:24 2020,207.005,28.781,66.222,66.074,65.904,70.000,65.974
Thu Jan 30 17:08:25 2020,207.806,28.781,66.222,66.145,65.975,70.000,66.036
Thu Jan 30 17:08:26 2020,208.621,28.783,66.287,66.218,66.048,70.000,66.109
Thu Jan 30 17:08:26 2020,209.422,28.783,66.352,66.289,66.119,70.000,66.177
Thu Jan 30 17:08:27 2020,210.237,28.783,66.352,66.289,66.119,70.000,66.177
Thu Jan 30 17:08:28 2020,211.053,28.784,66.419,66.360,66.190,70.000,66.245
Thu Jan 30 17:08:29 2020,211.853,28.785,66.486,66.438,66.269,70.000,66.318
Thu Jan 30 17:08:30 2020,212.669,28.786,66.558,66.509,66.339,70.000,66.370
Thu Jan 30 17:08:30 2020,213.469,28.786,66.558,66.509,66.339,70.000,66.396
Thu Jan 30 17:08:31 2020,214.286,28.788,66.624,66.580,66.410,70.000,66.458
Thu Jan 30 17:08:32 2020,215.085,28.789,66.686,66.648,66.480,70.000,66.531
Thu Jan 30 17:08:33 2020,215.901,28.789,66.686,66.648,66.480,70.000,66.531
Thu Jan 30 17:08:34 2020,216.701,28.791,66.747,66.717,66.547,70.000,66.594
Thu Jan 30 17:08:35 2020,217.517,28.794,66.804,66.783,66.612,70.000,66.661
Thu Jan 30 17:08:35 2020,218.317,28.795,66.862,66.849,66.679,70.000,66.729
Thu Jan 30 17:08:36 2020,219.133,28.795,66.862,66.849,66.679,70.000,66.729
Thu Jan 30 17:08:37 2020,219.933,28.799,66.921,66.912,66.743,70.000,66.792
Thu Jan 30 17:08:38 2020,220.749,28.804,66.977,66.983,66.815,70.000,66.849
Thu Jan 30 17:08:39 2020,221.565,28.806,67.037,67.046,66.877,70.000,66.870
Thu Jan 30 17:08:39 2020,222.366,28.806,67.037,67.046,66.877,70.000,66.917
Thu Jan 30 17:08:40 2020,223.181,28.808,67.090,67.108,66.944,70.000,66.979
Thu Jan 30 17:08:41 2020,223.981,28.810,67.138,67.172,67.008,70.000,67.036
Thu Jan 30 17:08:42 2020,224.797,28.810,67.138,67.172,67.008,70.000,67.036
Thu Jan 30 17:08:43 2020,225.598,28.810,67.188,67.236,67.069,70.000,67.099
Thu Jan 30 17:08:43 2020,226.413,28.811,67.237,67.297,67.134,70.000,67.161
Thu Jan 30 17:08:44 2020,227.213,28.810,67.288,67.360,67.198,70.000,67.219
Thu Jan 30 17:08:45 2020,228.029,28.810,67.288,67.360,67.198,70.000,67.219
Thu Jan 30 17:08:46 2020,228.830,28.811,67.339,67.421,67.256,70.000,67.276
Thu Jan 30 17:08:47 2020,229.645,28.812,67.391,67.488,67.321,70.000,67.328
Thu Jan 30 17:08:47 2020,230.446,28.812,67.445,67.546,67.378,70.000,67.349
Thu Jan 30 17:08:48 2020,231.261,28.812,67.445,67.546,67.378,70.000,67.396
Thu Jan 30 17:08:49 2020,232.077,28.813,67.489,67.602,67.436,70.000,67.448
Thu Jan 30 17:08:50 2020,232.877,28.814,67.534,67.656,67.489,70.000,67.500
Thu Jan 30 17:08:51 2020,233.693,28.814,67.534,67.656,67.489,70.000,67.500
Thu Jan 30 17:08:51 2020,234.493,28.815,67.577,67.709,67.546,70.000,67.552
Thu Jan 30 17:08:52 2020,235.309,28.815,67.619,67.761,67.602,70.000,67.599
Thu Jan 30 17:08:53 2020,236.109,28.815,67.661,67.813,67.650,70.000,67.651
Thu Jan 30 17:08:54 2020,236.925,28.815,67.661,67.813,67.650,70.000,67.651
Thu Jan 30 17:08:55 2020,237.725,28.816,67.702,67.863,67.707,70.000,67.703
Thu Jan 30 17:08:56 2020,238.541,28.817,67.750,67.917,67.740,70.000,67.750
Thu Jan 30 17:08:56 2020,239.341,28.817,67.792,67.967,67.804,70.000,67.771
Thu Jan 30 17:08:57 2020,240.157,28.817,67.792,67.967,67.804,70.000,67.797
Thu Jan 30 17:08:58 2020,240.957,28.818,67.835,68.015,67.853,70.000,67.844
Thu Jan 30 17:08:59 2020,241.773,28.819,67.877,68.064,67.906,70.000,67.891
Thu Jan 30 17:09:00 2020,242.589,28.819,67.877,68.064,67.906,70.000,67.891
Thu Jan 30 17:09:00 2020,243.389,28.819,67.920,68.112,67.959,70.000,67.943
Thu Jan 30 17:09:01 2020,244.205,28.820,67.963,68.160,67.999,70.000,67.990
